スクショ,投稿文,リプ,いいね,インプ,日時,URL,
,"レチノール使ってる人、これだけは守って！①日焼け止めは絶対②一緒に使うのは優しい保湿系③肌が荒れたら一旦ストップ④寝不足×乾燥のときは避ける⑤焦らず週2スタート。守れば「毛穴レスなツルツル卵肌」がマジで目指せる。肌を変えるには、守りながら攻めるのがコツ。美容ナースの私が愛用してるのは…


これだよ↓プチプラでレチノール探してる人これ使わないと普通に損。






















",1,7,"3,328",2025/3/30 13:30:34,https://www.threads.com/@reika_biyou/post/DHz2V4VpX8L,
,"レチノール初心者さんへ。「毛穴に効くって聞いたけど…」「赤くなったら怖い」そんな不安、今日で解消しよ。失敗しない使い方をまとめたので参考にしてね👇🏻


＼美容ナースが教える／
レチノールの正しいステップはこれ！
① 週2〜3回からスタート
→ いきなり毎日はNG！まずは肌を慣らして。
② 夜だけ使う
→ 紫外線で分解されやすいから、朝は使わない！
③ 乾いた肌に使う
→ 洗顔後すぐは刺激が出やすい。
　化粧水→肌が乾いたあとにレチノールを。
④ 保湿はたっぷり
→ バリア機能を守るため、クリームでしっかり保湿！
⑤ A反応が出たら
→ 1〜2日お休みして様子を見る。それでも続くなら頻度をさらに減らしてOK！
「焦らず、少しずつ」が美肌のコツ◎
正しく使えば、毛穴・ハリ・ツヤ感UPも夢じゃない！


















",1,9,"5,140",2025/3/29 22:42:23,https://www.threads.com/@reika_biyou/post/DHyQsmwpynI,
,"毛穴がつるんとしてる患者さんを見るたび、本当に丁寧にお手入れしてるんだなぁって感動します。ちなみに私はというと、病棟で夜勤してた頃、スキンケアどころじゃなくて毛穴なんて見ないフリしてました。でも肌ってちゃんと向き合うと変わるんですよね。美容ナースとして働いててすごくそう思います。






",0,1,"5,210",2025/4/2 22:13:07,https://www.threads.com/@reika_biyou/post/DH8ghvmtUBO,
,"この際だからハッキリ言うけど。朝のスキンケアにビタミンCを入れないのは、ちょっともったいなーーい！！紫外線を浴びると、肌の中では活性酸素が発生してシミやシワの原因になる。朝のビタミンCは、その酸化ダメージを抑えてくれる働きがあるんよ(ココ大事)
つまり、朝に塗ることで「守り」の効果を最大限に発揮するということ！！いい、分かった？ちゃんとビタC仕込んで今年は日焼けキャンセル界隈に一緒なろうぞい！








",0,8,"5,531",2025/4/6 0:54:36,https://www.threads.com/@reika_biyou/post/DIEhZMepz7e,
,"優しいフォロワ様方。回答ありがとうございました🥺1番人気だった「毛穴ケアの教科書」早速執筆活動にいそしみたいと思います。私の全経験と知識をまるごと詰め込む超大作になりますよ〜〜完成したらすぐ出しますから待ってて〜〜〜〜〜〜お楽しみに♡



























",0,6,"5,622",2025/4/6 15:16:01,https://www.threads.com/@reika_biyou/post/DIGD-WGJzZi,
,"マツパもマツエクとかで自まつ毛がよわよわ界隈になってしまったそこの女子達〜〜〜！！！何度も言うけど目力で顔の印象100変わるのよ。いろんなまつ毛美容液使ったけど結論5000円くらいは美容液に出さんと効果なし。ちなみに、まつ毛美容液や目薬を発売して110年以上のロート製薬でとりあえずケアしておけば問題なし。まつ毛にハリコシあるだけですっぴんも映えるなんて最強すぎん？

◾︎ rakuten ad ラッシュリッチ
a.r10.to/hP29C…
【楽天市場】ラッシュリッチ 2.5ml まつ毛美容液 ロート製薬 まつげ美容液 美容：W3K 楽天市場店





























",1,12,"5,755",2025/4/6 14:18:11,https://www.threads.com/@reika_biyou/post/DIF9Wu4J8yP,
,"ねえ、肌荒れてる朝って絶望しない？
肌荒れてると外出たくなくなるし、メイクも楽しくないし、テンション下がるしさ……
正直、肌って人生のテンション左右しすぎん？笑

私がスキンケアを妥協しないのって、
「キレイになりたい」っていうよりも、
自分のご機嫌を取りたいからって感じなのよ。

肌が整ってるだけで、自分のことちょっと好きになれるし、鏡見るのも、外出るのも、誰かに会うのも楽しくなる。

だから私は、今日もせっせとスキンケア頑張る🙂‍↕️
肌で悩んでる人の気持ち、痛いほどわかるから、
これからも使ってよかったものだけシェアしていくね。

いつも見てくれてありがとう。いいねもリプもDMも、全部めっちゃうれしいし励みになってるよ〜🫶🏻これからもよろしくね！






",0,11,"5,964",2025/5/30 10:00:11,https://www.threads.com/@reika_biyou/post/DKQiwYtqJDW,
,"毎日たくさんのDMをいただくのですが、「れいかさんみたいに肌きれいになりたい」とか、「一緒にスキンケア頑張りたいです」とかもらうとすごく元気出る。最近沢山の人にフォローされて見てくれる人も増えたから、ほぼ丸パクリしてくるアカウントもいて悲しいって思うこともあったんだよね。けど、自分は自分の想いを発信する発信者でありたいと思います。フォロワーさん達にいつも支えてもらっているので自分も返せるように頑張るから。いつでも悩んだら相談してください。自分の全力の回答で肌作りを応援させてもらいます。







",2,10,"6,140",2025/4/17 10:54:08,https://www.threads.com/@reika_biyou/post/DIh6v1ShUZI,
,"肌に差がつく生活習慣を3つまとめてみたッ！！！！
①「良質な睡眠」で肌の再生をサポート。成長ホルモンが分泌される入眠後3時間がカギ毎日6.5時間以上の深い睡眠で、肌のターンオーバーを整える。
②「腸内環境の改善」で肌トラブルを予防。発酵食品や食物繊維を意識して摂取。腸と肌はつながっており、腸内フローラの乱れは肌荒れにも直結する。
③「紫外線対策の徹底」で老化を防ぐ。UVAは室内にも届くため、365日の日焼け止めが必須。シワ・たるみ・くすみの予防には毎日のケアが鍵。






",0,13,"6,188",2025/4/6 21:43:34,https://www.threads.com/@reika_biyou/post/DIGwUz_pM9g,
,"美肌になりたくてやめたこと聞いて？？安いからってだけで買う→結局使い切らん。とりあえず保湿すればいいやって思考→インナードライ一直線。合わんスキンケア我慢して使い続ける→肌荒れループ地獄。あと寝不足、水飲まん、メイク落とさず寝るやつ←それ全部アウトすぎて泣いた。肌に合ってないのって実はスキンケアじゃなくて「習慣」が犯人なこと多すぎ。肌育てたいなら、まずやめるとこから始めよ？？これ、ガチのやつだから保存しとこ？？？







",0,16,"6,205",2025/4/10 22:12:18,https://www.threads.com/@reika_biyou/post/DIRGyyTJHAM,
,"20代でやっておくべき美容

・医療脱毛(全身)
・歯列矯正
・日焼け止めは365日
・眉毛サロンを自分に似合う眉毛を知る
・レチノール貯金
・美容院のトリートメント
・ピラティス(姿勢矯正)
・まつげ美容液
・鉄・ビタミン・タンパク質をちゃんと摂る
・デパコス・スキンケア課金

綺麗って努力の結晶。20代のうちに差つけよ。

自分史上最高のビジュいい女になりたい人は
@reika_biyou
 をフォローしてね‪⸜❤︎⸝‬














",1,77,"6,389",2025/3/29 22:53:52,https://www.threads.com/@reika_biyou/post/DHySAtHJzS5,
,"✿可愛さ回復リスト✿

・眉毛を整えて、うっすら脱色する
・美容院で前髪・カラー・毛先メンテ
・新しいメイクをYouTube見ながら練習
・まつパ or まつエクで目元ぱっちり
・伸びきったネイルを新しくして気分転換
・とりあえず水を1.5L飲む
・30分だけ外に出て歩く（散歩でOK）
・筋トレ or ストレッチを5分だけやってみる
・寝る前に唇を鬼保湿（パックでもリップでも◎）
・部屋の床が見えるくらい片付ける
・愚痴を言わない（これが一番効く）

自分で自分ご機嫌がとれるかわい子ちゃんになっちゃお。







",0,118,"6,390",2025/3/31 23:58:20,https://www.threads.com/@reika_biyou/post/DH3i-pIplUD,
,"「なんでそんなに肌にこだわるの？」って聞かれることあるけど、それは鏡に映る自分が大嫌いだったから。隠しても隠しきれんブツブツでき物、黒ずみ毛穴、メイクも映えない肌にまじ萎えてた。「女優さんみたいな肌になりたい」って思ったのがきっかけで、美容ナースになって、ちゃんと肌と向き合って、沢山学んで、スキンケアを研究した。「肌キレイですね、羨ましい」って初めて患者さんに言われた日を多分私は一生忘れないと思う。今は美容ナースとして働きながら、肌を育てることの大切さを感じてるし、同じように悩んでる人の役に立てる発信をしていきたいって思ってる。だからみんなで一緒に肌育ててビジュ爆アゲしてこ！！







",0,15,"6,395",2025/4/10 23:07:58,https://www.threads.com/@reika_biyou/post/DIRNKhUJevF,
,"昨日も3人のフォロワさんとお話してきた🫶🏻個別に肌悩み、スキンケア類の選び方などアドバイスしてます。なかなかThreadsでは個別に話しにくい人もいますよね、、そんな時はDMでお気軽にどうぞ😉明日からまたお仕事なので昼休みorアフター5に返信します！







",0,2,"6,431",2025/4/6 15:34:00,https://www.threads.com/@reika_biyou/post/DIGGCD1JsxV,
,"ねえ、みんなって内側ケアもしてる？？私は最近飲むビタミンCにこだわってて、くすみがマジで減った。肌って内側からの影響すごい受けるよね。もし効果感じたサプリとかあったら教えてほしい(切実)あとさ、チョコとかマックみたいな油ギッシュなご飯食べたら肌治安下がる体質卒業したすぎる。






",0,4,"6,819",2025/4/17 10:46:12,https://www.threads.com/@reika_biyou/post/DIh51vKh9cO,
,"【ご報告】
美容ナース目線で美容情報を発信し始めて早1週間で1000人達成しました。今後もフォロワさんのお悩み解決できるよう頑張ります。まだフォローしてくれてない方で歳にあらがって、自分史上最強のビジュになりたいという同志様がいましたら早めにフォローしておいてください。
▶︎ @reika_biyou







",0,5,"6,903",2025/4/5 13:18:51,https://www.threads.com/@reika_biyou/post/DIDRxURpCrR,
,"春なのにもう紫外線ヤバすぎて、油断してたら秒速で老けます。しかも真面目な話、シミ・たるみ・乾燥…全部紫外線のせい。正直、日焼け止めだけじゃ限界あるのよ。美意識高い子ほど日傘ガチ勢。てか、私の周りの肌キレイな人は全員日傘持ってる。もう最近は自分用だけじゃなくて、彼氏にも買ってあげてる人までいるレベル。紫外線なめたらまじで10年後後悔するよ！！！



私が使ってるやつ置いとくから、持ってない子は全員買ってね？届いたら即使って？将来シミに悩みたくないなら日傘デビューして紫外線物理的カット推奨🥺
◽︎ rakuten ad 楽天1位はこれ🫰🏻 ᩚ
a.r10.to/hNru2…
【楽天市場】年間ランキング1位【クーポン→1点2,280円】 日傘 折りたたみ 完全遮光 JIS認証済 遮熱率59％ 自動開閉 DeliToo 傘 超軽量 わずか240g 折り畳み傘 6本骨 uvカット 紫外線対策 日焼























",1,6,"7,086",2025/4/6 22:30:25,https://www.threads.com/@reika_biyou/post/DIG1r-Yp1IE,
,"DMやコメントで個別に肌ケアやスキンケア類の選び方などアドバイスしてます！昨日だけで5人くらいお話してきた🫶🏻私もフォロワさんと繋がれて嬉しいです。お気軽にどうぞ😉







",0,5,"7,213",2025/4/5 13:13:56,https://www.threads.com/@reika_biyou/post/DIDRNWGp-hz,
,"肌治療って結局どれがいいの？ってよく聞かれるから私のおすすめまとめてみたよ！美容ナースとして実際に効果を感じたものだけピックアップしてるからぜひぜひぜひぜひ参考にしてね😌

▫️ポテンツァ
一度で肌が明るくなった！毛穴も引き締まって、化粧ノリが全然違う。
▫️ダーマペン
3回やったら毛穴が目立たなくなった！ちょっと痛いけど、その分効果はバツグン。
▫️ピコレーザー
シミが薄くなって、肌全体がトーンアップ。毛穴も引き締まって褒められ肌になれる。
▫️Fレーザー
痛みが少ないのに、しっかり効果ある。敏感肌の私でも安心して受けられたよ。
▫️白玉注射
肌がワントーン明るくなって、透明感アップ。定期的に受けてるお気に入り。
▫️ボトックス
表情ジワが気にならなくなった！自然な仕上がりで、若々しい印象になれる。
▫️リジェランi
毛穴が引き締まって、肌のハリが戻った感じ。効果が1年続くのも嬉しいポイント。
▫️ハイドラフェイシャル
くすみが取れて、肌がツルツルに。メイクのりも良くなって、気分も上がる！

うちのクリニックで人気なのはダーマペン。痛みは耐えれる程度(グサグサ)、赤みは2日くらいで引くから始めやすいかも。でも目安として5回は続けないとだから根気とお金が必要😇3回目くらいから本当に毛穴が目立たなくなるよ。

美容ナースとして勤務してるので美容医療のこともなんでも聞いてね😌でもたっかいから大事な日の前だけでいいと思うのも事実。スキンケアも味方にして一緒に美肌育てていこう！！
まだの人は→
@reika_biyou
 をフォローしといてね！








",3,8,"7,245",2025/4/17 20:28:58,https://www.threads.com/@reika_biyou/post/DIi8iFBp2aU,
,"美容で何に課金するか悩んだら、とりあえず「肌」って決めてる。肌がキレイだとメイクも服もアクセも、全部ばえる。私も昔は、色々金かけてたけど、結局コスパ良かったのはスキンケア。最終形態は「朝はビタミンCで守って、夜はレチノールで攻める」たったこれだけ。美容ナースしてても思うけど、肌って積み重ねだけが勝つ世界。ドケチ女の私もここだけは一生課金する。未来の自分のために、今の肌に投資しとこ。







",0,9,"7,278",2025/4/17 22:30:25,https://www.threads.com/@reika_biyou/post/DIjKbowJS8e,
,"「肌が綺麗になって、初めて自分の顔が好きかもって思えました」ってDMが来て、正直泣いた。私自身も昔は鏡見るのイヤすぎて朝の準備ほんまにしんどかったし、肌汚いのが中学からのコンプレックスだったから余計グッときた。肌が変わると人生ってちょっと変わる。でもそのちょっとが大事だと思ってる。だからこれからも、「使ってよかった」しか紹介しない。ステマなんか絶対なし。誰かの肌と気持ちをあげれるような投稿をずっと続けていきたいな。肌で悩んだらいつでもDMで相談してね。






",0,12,"7,377",2025/4/17 0:38:06,https://www.threads.com/@reika_biyou/post/DIg0P9Ypbr4,ローンチ
,"よく「なんでそんなにスキンケア続けられるの？」ってDMもらうんだけど、正直、私も昔は全然続かなかった！でもね、肌って一日二日で変わるもんじゃなくて、続けた人だけが「肌変わった！」っていう感動を味わえるんよね。それが嬉しくて、スキンケアが“義務”じゃなくて“楽しみ”に変わったの。だからこれからも出会えてよかったなぁと思えるスキンケアだけ共有していくね！！一緒に肌褒められる人生、作っていこ！





",0,8,"7,424",2025/6/5 10:30:41,https://www.threads.com/@reika_biyou/post/DKgDBAzB1_L,
,"@k_log21 さんへ
いつも見てくださってありがとうございます！！！🤗

シワ憎いですよね💦今の段階のシワはスキンケア化粧品でも改善の余地があるので、アイクリームをぜひこの機会に始めていただきたいです！！

シワ改善の有効成分として認められている成分は「ニールワン」「ナイアシンアミド」「レチノール」などです！ぜひ有効成分の所をチェックしてみてくださいね。

プチプラでアイケアデビューにおすすめなのは
・なめらか本舗 薬用リンクルアイクリーム ホワイト
・セザンヌ リンクルホワイト アイクリーム

少し値段はしますが、余裕があれば、
・ミノン アミノモイストエイジングケアクリーム
が使用感、効果ともに群を抜いているのでオススメですよ！🙂‍↕️
















",1,4,"7,544",2025/5/24 20:44:08,https://www.threads.com/@reika_biyou/post/DKCPrfXJGEN,
,"いつも見てくれてありがとう。最近「れいかさんの投稿見るのが楽しみです」って言ってもらえることが増えて、めちゃくちゃ嬉しいです💓毎日バタバタだし、全然完璧じゃないけど、「自分をもっと好きになりたい」って思ってる人に、少しでも背中押せたらなって気持ちで発信してます。美容って、ただ綺麗になるだけじゃなくて、自分を大事にする手段だと思ってます。これからも一緒に肌育ちょっとずつがんばろうね。コメントもDMもちゃんと見てるので、気軽に話しかけてくれたらうれしいです！！







",0,6,"7,662",2025/5/7 23:14:31,https://www.threads.com/@reika_biyou/post/DJWvYJRJIDw,
,"朝の光って、実は美肌づくりに欠かせないんだよね。体内時計が整ってホルモンバランスも安定するから、肌荒れしにくくなるし、セロトニンが出てストレスケアにも◎。
紫外線が気になるかもだけど、朝の7〜9時なら比較的やさしめ。ただ、軽めの日焼け止めは塗っておくと安心だよ。
朝のスキンケアに“光浴び習慣”もプラスして、内側からキレイを育てよう！






",0,9,"7,681",2025/4/7 7:20:00,https://www.threads.com/@reika_biyou/post/DIHySw8znDa,
,"今日も沢山DMきてたけど、最近は「れいかさんみたいに肌綺麗になりたい」とか「れいかさんについて行きます！」とか嬉しすぎるメッセージもらえて泣きそうです😭美容ナースフルタイムでやってるから返信遅いかもだけど、フォロワさんと話すと仕事頑張れる！！！私も還元できるようにたくさん発信していくね。みんなついてきてね🫶🏻






",0,13,"7,686",2025/4/11 15:05:23,https://www.threads.com/@reika_biyou/post/DIS6uyXJozg,
,"毛穴ケアオタクの私が下地選ぶ時に気をつけてることは酸化亜鉛フリーのものを選ぶこと。毛穴詰まりの元になる酸化亜鉛はよく下地に入ってるんだけど、毎日使用するのは避けたいところ。もちろん酸化亜鉛にもメリットはあって皮脂を吸着させたり紫外線カット効果があったりする。何に重きを置くかで選び方は変わってくる。







",0,5,"7,696",2025/5/8 9:27:50,https://www.threads.com/@reika_biyou/post/DJX1kH8omOQ,
,"マスクしてるから大丈夫〜とか思ってない？首って思ってるより年齢出るからね。顔ピカピカでも首シワシワだったら一気に老け見えするよ？てか「30代だからまだ大丈夫」とか言ってる場合じゃなくて、30代からが本番な？？？今から首までちゃんと保湿＆UVしてたら絶対老けみえ防止できるのになぜやらない？？？顔だけじゃなくて、首までこだわっていこ！！！首ケア何使ってるかはまた今度まとめるから、とりあえず今日は化粧水バッシャバシャ塗っといて！





",1,10,"7,900",2025/5/30 8:00:30,https://www.threads.com/@reika_biyou/post/DKQVDzGvc7c,
,"最近、顔より首のシワが気になっててさ。って40代の先輩の話。首って年齢出やすいのに、意外とケア後回しにしがちじゃない？私はスキンケアを顔だけじゃなく首まで塗るようにしてて、下から上にやさしく引き上げるのがポイント。それとスマホ見るときうつむかないようにしてるよ。あと枕も高すぎると首にシワできるから、低めで自然に首が伸びるやつに変えた！首も顔と同じくらい丁寧に扱ってあげるのが大事だなって思ってる。



私が使ってる枕はこれ！！pr
a.r10.to/h5yEA…




























",1,7,"7,911",2025/4/7 9:29:04,https://www.threads.com/@reika_biyou/post/DIIBEIdh_J6,
,"現役美容ナース私が夜勤してた時の肌荒れしないスキンケアルーティン。夜勤後は肌が乾燥＆くすみがちだからこそ「保湿」「鎮静」「UVケア」が超重要。まずは低刺激クレンジング＋泡洗顔で優しく汚れをオフしたら、鎮静系のシートマスク（CICA・アロエ）で肌をリセット。美容液はビタミンC系で透明感UP、仕上げは保湿力抜群のセラミド乳液＆日焼け止め必須◎このルーティンで夜勤明けでも肌荒れ知らずのうるつや肌をキープしてる！








",0,9,"7,917",2025/4/3 22:00:26,https://www.threads.com/@reika_biyou/post/DH_D3veNriT,
,"沢山の美容情報が溢れるこの世の中で、何が自分に合うのか、1番肌悩みを解決できるのはどんなスキンケアか1人で悩むのは時間がもったいない！！！自分の肌質に似た人の声を聞き、自分で試す、その繰り返し。でも投資した分だけちゃんと肌は綺麗になるから。ギャンブルみたいに負けたりしない。数ヶ月後どんな肌になりたいか考えてみて。スキンケアや生活習慣に自己投資した分だけ見返りは大きくなるよ。







",0,4,"8,001",2025/5/2 19:22:50,https://www.threads.com/@reika_biyou/post/DJJc42WJ2NW,ローンチ
,"本当はおしとやかキャラの美容ナースでいこうと思ったけど、無理だ😇いつものしゃべり口調でどんどん投稿していく！その方が想いが伝わる気がするし！






",0,2,"8,160",2025/4/4 14:40:11,https://www.threads.com/@reika_biyou/post/DIA2SKip9re,
,"スキンケアって結局「続けられるかどうか」が勝負。成分も大事、順番も大事。でも「今日めんどいからいっか」って日が増えてくと肌もレベル落ちしていく。だから“続けられる工夫”をめっちゃ大事にするし、手間減らすとか、使って気分上がるとか、そういうの超重視してる。今日100点より、70点を毎日できる人の方が肌は変えられる。そういうこと考えてるとやっぱ続けられるアイテム選べる人が強い。リアルで使ってるフルスキンケアはまた今度出すからぜひぜひぜひ参考にしてほしい！

まだフォローしてない人は
@reika_biyou
 をフォローしてね💕︎
一緒に自分史上最高の肌作りしない？？？













",3,11,"8,251",2025/4/11 23:00:16,https://www.threads.com/@reika_biyou/post/DITxE8RpeXR,
,"これだけでニキビ無くなるとか、毛穴無くなるとか、人にもよるけどスキンケアだけをあんまり過信しない方がいい。栄養あるもの食べて、しっかり寝て、運動も適度にして、そして肌と向き合う。美容頑張りたいなら、スキンケアだけ頑張るなんてもったいない。(こんな時間に何言ってんだ私は)






",0,9,"8,555",2025/5/9 1:49:05,https://www.threads.com/@reika_biyou/post/DJZl3GohdAa,
,"黄ぐすみについてのご質問を頂いてました！
日焼け対策してるのに肌がどよーーんとくすんでる感じがする人は参考にしてみてください👀
















",0,1,"8,660",2025/5/10 21:54:27,https://www.threads.com/@reika_biyou/post/DJeUmRcpM4N,
,"最近DMやリプで多いのが「エイジングケア何使ったらいいか分からない」って相談。保湿だけじゃ足りない、くすみ、ハリ不足、毛穴の開き、年齢肌って放置しとくと老け見え直結。でもエイジングケア系って選ぶの難しいし、いきなり高価なデパコス使うのもハードル高い。だからまず勧めてるのがオルビスのユードットシリーズ。美白・エイジング・乾燥対策、全部にアプローチできて、揃えても低価格。使うほど、くすみやごわつきが和らいで、肌が柔らかくなるの。クリニックでも35歳以上の方にとにかく勧めてる。大人の肌悩み解決できる信頼感で、続けられる値段って多分このブランドくらい。
























",0,10,"8,686",2025/5/2 23:28:36,https://www.threads.com/@reika_biyou/post/DJJ5A5hJL5z,
,"同期の肌が急にツヤッツヤになってて、「どこのクリニック通ってるの!?」って聞いたら、まさかの“アゼライン酸入りの美容液使ってるだけだよ”って言われてびっくり。正直、そんなので変わる？って思ってたけど、半信半疑で使ってみたら…皮脂のベタつきが落ち着いて、ニキビもできにくくなったし、毛穴もふんわり目立たなくなってきた。しかも、

しかも、ナイアシンアミドと5種のCICAまで入ってて、毛穴ケアしながら肌バリア強化も叶うとか最強すぎない？肌荒れ・毛穴・くすみに悩んでる人、根本から肌を変えたいなら、これはほんと試してみてほしい。ad
a.r10.to/h5cie…
【楽天市場】AZELAIN AZアドバンスドセラム アゼライン酸美容液 30ml アゼライン酸誘導体配合 CICA セラミド ナイアシンアミド ヒアルロン酸 コラーゲン レチシン グリチルリチン酸 サリチ


























",1,9,"8,712",2025/4/2 22:17:47,https://www.threads.com/@reika_biyou/post/DH8hD9PpQCj,
,"大好きなフォロワーの皆さんのコメントは全て返しているつもりなんですが、通知が多すぎて漏れていることもあるかもしれないです😭3日経っても返信なければ最新のスレッドにコメントしてくだされば必ず返信します！！！お待たせしてしまい申し訳ないです🙇‍♀️






",0,4,"8,767",2025/6/2 15:08:50,https://www.threads.com/@reika_biyou/post/DKY0dqCJgMk,
,"【感謝】
5000フォロワさん達成しました！🥰✨
いつも見てくださって本当にありがとうございます🙇‍♀️

美容ナースとして美容オタクとして発信を始めてまだ半月。正直こんなにたくさんの人に見てもらえる日が来るなんて思ってなかったし、肌に自信なかった頃の自分に教えてあげたいです🕊️

美容ナースやってて分かったことなんだけど、スキンケアってちゃんと向き合えばちゃんと応えてくれます🥺だからこそ、体質とか遺伝とかそんなもの抜きにしてちゃんと美肌になれる方法を発信していきます。

ここでは自分が“ほんとに使ってよかった”って思えるものだけを紹介してます。これからもずっっっと肌のことで悩む人の味方でいるので、リプでもDMでもいつでも相談くださいね☺️







",0,3,"8,776",2025/4/19 11:48:03,https://www.threads.com/@reika_biyou/post/DInKgj0JQL2,
,"口周辺、あご周りにニキビ多発する人集合！！！口周りは皮脂多くて毛穴が詰まりやすい場所だからニキビできやすい。そこにホルモンバランスとかストレスや疲れが積み重なって巨大ニキビを生成。体質とかももちろんあるけど、顔をムダに触らない・髪の毛触った手で顔に触れないようにするとかも結構大事だったりするのよ。






",0,9,"8,865",2025/5/8 10:31:02,https://www.threads.com/@reika_biyou/post/DJX8zE9J4Xg,
